コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Brank,,,オーブリーは襟の釦を止めながら、,scbg_aubrershousein.png,SCBGM_aubrey_room.ogg,,
,,,オイルボトルの蓋を片手で回した。,,,,
,,,鈍いオイル独特の匂いが漂う。,,,,
Sentence,クラーラ,右,「お兄ちゃん、今日は”夜番”？」,,,,Aubraysister_sad.png
Brank,,,背後からあどけない英語で,,,,
,,,話しかけてくる妹。,,,,
Sentence,オーブリー,左,「よく夜番なんて言葉を覚えたね」,,,,Aubray_smile.png
Sentence,クラーラ,右,「ママがそう聞いてみなさいって」,,,,Aubraysister_sad.png
Sentence,オーブリー,左,「じゃあママに、夜番だよって,,,,Aubray_smile.png
,,,伝えてくれる？」,,,,
Sentence,クラーラ,右,「うん」,,,,Aubraysister_sad.png
Brank,,,クラーラの頭を撫でようと右手を,,,,
,,,伸ばしかけてからやめる。,,,,
Brank,,,右手は機械で、妹に触れるには,,,,
,,,不向きだった。,,,,
Sentence,オーブリー,左,「さ、クラーラ。支度をするから、,,,,Aubray_smile.png
,,,離れてくれるかな？」,,,,
Brank,,,ぱっと体を離した妹に微笑んで、,,,,
,,,粗末な椅子に腰掛ける。,,,SCSE_isunisuwaru.wav,
Brank,,,手にした布にオイルを染み込ませ、,,,,
,,,右腕の機械部分に滑らせていく。,,,,
Sentence,クラーラ,右,「ママー！,,,,Aubraysister_sad.png
,,,お兄ちゃん、今日”夜番”だって！」,,,,
Brank,,,駆けていく妹の背中を見送ると、,,,SCSE_sister.wav,
,,,棚のガラスに自分の体が映って,,,,
,,,いるのが見えた。,,,,
Brank,,,右手と左脚はもう十年以上前に、,,,,
,,,機械に作り変えられてしまった。,,,,
Brank,,,この国で労働者として生きる以上、,,,,
,,,避けられないことである。,,,,
Brank,,,まだ分別もつかない幼子の身体を,,,,
,,,機械に作り変えた両親のことを,,,,
,,,恨んだことはなかった。,,,,
Brank,,,他の労働者から時折聞こえてくる,,,,
,,,その類の不満は、オーブリーに,,,,
,,,なんの影響も及ぼさない。,,,,
Brank,,,彼は自身のこの身体で、,,,,
,,,愛する家族を支えるために働く,,,,
Brank,,,ということに自分の人生の意義を,,,,
,,,見出せる男だった。,,,,
Sentence,？？？,右,「オーブリー！　おはよう。,,,,Weeden_face.png
,,,準備できた？」,,,,
Brank,,,窓枠を叩く音がして振り向くと、,,,SCSE_garasumado.wav,
,,,幼馴染のウィーデンが顔を出して,,,,
,,,いた。,,,,
Sentence,オーブリー,左,「おはよう。すぐ行くよ」,,,,Aubray_smile.png
Brank,,,オーブリーは右手の屈伸運動の後、,,,,
,,,オイルボトルの蓋を閉めた。,,,,
Brank,,,それから壁にかけてあった鞄を,,,,
,,,手に取り、ウィーデンに玄関へ,,,,
,,,回るよう指で合図する。,,,,
Sentence,オーブリー,左,「母さん。行ってくるよ」,,,,Aubray_smile.png
Sentence,オーブリーの母,,「ああ。いつもありがとうね」,,,,Aubraysmom_face.png
Sentence,オーブリー,左,「気にしないで。じゃあ、,,,,Aubray_smile.png
,,,クラーラ。兄さん行ってくるよ」,,,,
Sentence,クラーラ,右,「いってらっしゃい！」,,,,Aubraysister_sad.png
Brank,,,オーブリーは妹に手を振って、,,,,
,,,自宅を出た。,,,,
