コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情,,背景,BGM,SE,表情
Brank,,,ルーカスは鏡の前で身なりを正す。,,,,,,,,,
,,,コンラッドに言われ続け、今では,,,,,,,,,
,,,部屋を出る前の習慣になった。,,,,,,,,,
Brank,,,襟の形を整え終えた頃、,,,,,,,,,
,,,鏡にコンラッドの姿が映った。,,,,,,,,,
Sentence,コンラッド,右,「準備できたか？」,,,,Conrad_face.png,,,,,Conrad_face.png
Sentence,ルーカス,左,「ああ」,,,,Lucas_face.png,,,,,Lucas_face.png
Sentence,コンラッド,右,「よし、なら行こう。,,,,,,,,,
,,,今日はクロフト准将から,,,,,,,,ドアを閉めるおと,
,,,新しい任務の話があるらしいから」,,,,,,,※もしくは多少のざわめきと靴音の合成,靴音,
Sentence,ルーカス,左,「奥さんの調子はどうだ？」,,,,Lucas_face.png,,scbg_corridor.png,,,Lucas_face.png
Sentence,コンラッド,右,「最近はいい調子だって聞いてる。,,,,Conrad_smile2.png,,,,,Conrad_smile2.png
,,,次の非番に見舞いへ行くんだが、,,,,,,,,,
,,,お前も来ないか？」,,,,,,,,,
Sentence,ルーカス,左,「いいのか？」,,,,Lucas_face.png,,,,,Lucas_face.png
Sentence,コンラッド,右,「もちろんだよ」,,,,Conrad_smile2.png,,,,,Conrad_smile2.png
Brank,,,二人の声は廊下に響いた。,,,,,,,,,
,,,ネオゴシック様式で統一された,,,,,,,,,
,,,司令部は、柱や天井が高い。,,,,,,,,,
Brank,,,第9特別歩兵師団の司令部前まで,,,,,,,,,
,,,来ると、二人は踵を揃え敬礼した。,,,,,,,,靴音ストップ,
Sentence,コンラッド,中央,「パーシヴァル少佐、ルーカスと,,,,Conrad_face.png,,,,,Conrad_face.png
,,,ともに参りました」,,,,,,,,,
Sentence,クロフト,右,「入れ」,,,,※立ち絵なし,,,,,※立ち絵なし
Sentence,コンラッド,中央,「失礼します」,,,,Lucas_face.png,,,,入室音,Lucas_face.png
Sentence,クロフト,右,「これで全員揃ったな。これより,,,,,,,,,
,,,本日以降半年に渡る新しい任務の,,,,,,,,,
,,,説明を行う」,,,,,,,,,
Brank,,,クロフトが壇上に登ると、,,,,,,,,ヒールの音,
,,,いっきに空気が張りつめた。,,,,,,,,,
,,,各自に紙が配られる。,,,,,,,,,
Sentence,クロフト,,「本日より君たちには、,,,,Croft_face.png,,,,,Croft_face.png
,,,我が国の食料不足を補うため、,,,,,,,,,
Sentence,クロフト,右,農業に従事させる機械奴隷の,,,,Croft_face.png,,,,,Croft_face.png
,,,回収にあたってもらう。,,,,,,,,,
Sentence,クロフト,右,回収については、支給兵器及び,,,,Croft_face.png,,,,,Croft_face.png
,,,バディの人型自立稼働兵器を使え。,,,,,,,,,
,,,反抗すれば最悪殺害しても構わん」,,,,,,,,,
Sentence,コンラッド,中央,「恐れながら、クロフト准将」,,,,Conrad_face.png,,,,,Conrad_face.png
Brank,,,ルーカスはコンラッドの横顔が,,,,,,,,,
,,,気色ばんでいるのに気がついた。,,,,,,,,,
Sentence,コンラッド,中央,「農業に従事させるためであれば,,,,Conrad_angry.png,,,,,Conrad_angry.png
,,,殺害しては意味が無いのでは？」,,,,,,,,,
Sentence,クロフト,右,「私は”最悪の場合”といっている。,,,,Croft_face.png,,,,,Croft_face.png
,,,お前は殺害するほど事態が悪化,,,,,,,,,
,,,するような指揮をするつもりか？」,,,,,,,,,
Sentence,コンラッド,中央,「しかし、万一を考えると――」,,,,Conrad_angry.png,,,,,Conrad_angry.png
Sentence,クロフト,右,「万一のことを考えたら動けん。,,,,Croft_face.png,,,,,Croft_face.png
,,,黙っていろ」,,,,,,,,,
,,,コンラッドは何も言い返せずに,,,,,,,,,
,,,唇を噛み締めている。,,,,,,,,,
Sentence,クロフト,右,「回収した機械奴隷は保管室へ,,,,Croft_face.png,,,,,Croft_face.png
,,,収容、死亡した場合も現場から,,,,,,,,,
,,,回収して死体遺棄場へ運搬せよ」,,,,,,,,,
Brank,,,ぐっと歯ぎしりの音が聞こえた。,,,,,,,,歯ぎしりの音,
Sentence,ルーカス,左,（これが、人間の激情……）,,,,Lucas_face.png,,,,,Lucas_face.png
Sentence,クロフト,右,「これより各バディの担当地区を,,,,Croft_face.png,,,,,Croft_face.png
,,,伝える。お前たちの担当は,,,,,,,,,
,,,ストクランズ地区1-Bだ」,,,,,,,,,
Sentence,コンラッド,中央,「……行くぞ、ルーカス」,,,,Conrad_angry.png,,,,,Conrad_angry.png
Sentence,ルーカス,左,「ああ」,,,,Lucas_face.png,,,,,Lucas_face.png
