コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,コンラッド,右,「悪いな、付き合わせて」,scbg_town.png,city.ogg,,Brad_smile.png
Sentence,ルーカス,左,「気にするな」,,,,Lucas_face.png
Brank,,,ルーカスは革靴の踵で,,,,
,,,ぬかるんだ道をこする。,,,hito_ge_aru_tsuti01.wav,
Brank,,,今日は息抜きに町へ繰り出したい,,,,
,,,というコンラッドの願いを叶える,,,,
,,,べく、二人で夜の街へ出ていた。,,,,
Brank,,,外套の襟で見えないが、,,,,
,,,コンラッドはまだ心中で何かを,,,,
,,,こらえているようである。,,,,
Sentence,ルーカス,左,（少しずつコンラッドの気持ちが,,,,Lucas_face.png
,,,わかるようになってきた気がする）,,,,
Brank,,,これまで人間の思考に興味など,,,,
,,,なかったのに、コンラッドと,,,,
,,,いるうちにそれを知りたい、,,,,
Brank,,,何を考えているのか,,,,
,,,わかりたいと思うようになった。,,,,
Brank,,,二人は軽い木の扉を押し開けて,scbg_tavern.png,,sei_ge_door_big_op02.wav,
,,,酒場へ入った。,,,,
Brank,,,そのまま真っ直ぐにカウンター席に着くと、,,sakaba.ogg,sei_ge_isu_gigi01.wav,
,,,コンラッドは店主に話しかけた。,,,,
Sentence,コンラッド,右,「ジントニックをくれ」,,,,Brad_face.png
Sentence,店主,,「お連れさんは？」,,,,
Sentence,コンラッド,右,「ああ、…同じものを」,,,,Brad_face.png
Sentence,ルーカス,左,（俺が飲食できないことを、,,,,Lucas_face.png
,,,気にしているな……）,,,,
Sentence,店主,,「わかりました」,,,,
Brank,,,待つ間も、コンラッドはじっと,,,,
,,,押し黙っていた。,,,,
Brank,,,ルーカスも、コンラッドが,,,,
,,,口を開くのを待っている。,,,,
Sentence,コンラッド,右,「なあ、ルーカス。,,,,Brad_face.png
Sentence,コンラッド,右,これからのことは、,,,,
,,,コンラッド・パーシヴァル個人の,,,,
,,,意見として聞いてほしいんだが」,,,,
Sentence,ルーカス,左,「ああ」,,,,Lucas_face.png
Sentence,コンラッド,右,「俺は幼い頃から軍人になるのが,,,,Brad_face.png
,,,当然だと思って生きてきた」,,,,
Brank,,,明かりのせいで、コンラッドの横顔には,,,,
,,,影の濃淡が出来ている。,,,,
Sentence,コンラッド,右,「この国の安全と繁栄に寄与する,,,,Brad_face.png
,,,ため、女王陛下の下で働けるのを,,,,
,,,ずっと誇りに思ってきた。,,,,
Sentence,コンラッド,右,つらい訓練生時代も、,,,,Brad_face.png
,,,そう思ったら頑張れたのに……」,,,,
Brank,,,コンラッドは、店主が差し出した,,,sei_ge_oku02.wav,
,,,グラスを手に取り、礼の代わりに,,,,
,,,目の高さで横に振って見せる。,,,,
Sentence,ルーカス,左,「俺には、お前のそういう感情を,,,,Lucas_face.png
,,,完全に理解することはできない」,,,,
Sentence,コンラッド,右,「でも、お前は俺のことを解ろう,,,,Brad_smile.png
,,,としてくれている……。なんて、,,,,
,,,バディである俺の欲目かな？」,,,,
Brank,,,コンラッドは乾いた笑いを,,,sei_ge_koori_karan01.wav,
,,,酒とともに飲み下した。,,,,
Sentence,コンラッド,右,「実際、お前といる月日は,,,,Brad_face.png
,,,一年半に満たない。,,,,
Sentence,コンラッド,右,だが、その月日以上のものを,,,,Brad_face.png
,,,お互い得られている気がする。,,,,
Sentence,コンラッド,右,……これも、俺の思い上がりだと,,,,Brad_smile.png
,,,思うけどな」,,,,
Brank,,,コンラッドは静かに息を吐いた。,,,,
,,,身体に酒を染み込ませるように、,,,,
,,,グラスに何度も短く口をつける。,,,,
Sentence,コンラッド,右,「時折、俺がいなくなった後の,,,,Brad_smile.png
,,,お前のことを考えると不安になる,,,,
,,,ことがあるよ。正直に言うと、,,,,
Sentence,コンラッド,右,お前とこんな関係を築けると、,,,,Brad_smile.png
,,,最初思ってなかったから、本当に,,,,
,,,嬉しいんだ」,,,,
Brank,,,心から愉快そうな笑いである。,,,,
Sentence,ルーカス,左,「お前は人間なんだから、,,,,Lucas_face.png
,,,自分のことだけを考えればいい。,,,,
,,,俺と違って替えのきかない命だ」,,,,
Sentence,コンラッド,右,「ルーカス、やめろ」,,,,Brad_face.png
Brank,,,コンラッドの鋭い声が、,,,,
,,,ルーカスの言葉を制する。,,,,
Sentence,ルーカス,左,「……悪い。,,,,Lucas_face.png
,,,お前の嫌いな言葉だったな」,,,,
Sentence,コンラッド,右,「……俺も余裕ないな、悪かった」,,,,Brad_face.png
Sentence,ルーカス,左,「明日は非番だから、今日は,,,,Lucas_face.png
,,,夜更かししよう。付き合うよ」,,,,
Sentence,コンラッド,右,「ありがとう」,,,,Brad_smile.png
Brank,,,その明後日の朝。,scbg_officeno9.png,,,
Sentence,クロフト,左,「非番は満喫したか？」,,,,Croft_smile.png
Sentence,コンラッド,右,「……ええ」,,,,Brad_face.png
Sentence,クロフト,左,「フン。では今日からまた精一杯,,,,Croft_smile.png
,,,働いてもらおうか」,,,,
Brank,,,嫌味とともに手渡された指令書は,,,,
,,,コンラッドの指の力によって,,,,
,,,しわを作っていた。,,,,
