コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「おはようございます」,scbg_officeno9.png,SCBGM_shireibunoiseandfoot.ogg,,Conrad_face.png,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「ああ。さっそくだが……――」,,,,Croft_face.png,,,,,,,,,,,,,,,,,,
Brank,,,クロフトが今日の指令について、,,,,,,,,,,,,,,,,,,,,,,
,,,各バディに通告している。,,,,,,,,,,,,,,,,,,,,,,
Brank,,,しかし、コンラッドは周囲を,,,,,,,,,,,,,,,,,,,,,,
,,,見渡してせわしない。,,,,,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「どうした？」,,,,Lucas_face.png,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「エリオットがいない……」,,,,Conrad_upset.png,,,,,,,,,,,,,,,,,,
Brank,,,ルーカスの耳元に口をよせ、,,,,,,,,,,,,,,,,,,,,,,
,,,コンラッドが言う。その口調には、,,,,,,,,,,,,,,,,,,,,,,
,,,焦りが滲んでいた。,,,,,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「……本当だ」,,,,Lucas_face.png,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「クロフト准将」,,,,Conrad_face.png,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「コンラッド。よせ」,,,,Lucas_face.png,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「……何だ？」,,,,Croft_face.png,,,,,,,,,,,,,,,,,,
Brank,,,話を遮られたことを煩わしく,,,,,,,,,,,,,,,,,,,,,,
,,,思ったか、クロフトが視線だけ,,,,,,,,,,,,,,,,,,,,,,
,,,こちらに向ける。,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「エリオットの姿が見えません。,,,,Conrad_face.png,,,,,,,,,,,,,,,,,,
,,,今日は非番ではないはずですが」,,,,,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「奴は今朝、不具合を起こした。,,,,Croft_face.png,,,,,,,,,,,,,,,,,,
,,,現在は研究室で調整を行っている」,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「不具合、ですか？」,,,,Conrad_face.png,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「コンラッド、もういいだろ。,,,,Lucas_face.png,,,,,,,,,,,,,,,,,,
,,,不具合があってもおかしくない」,,,,,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「この回答では不服だと言いたい,,,,Croft_face.png,,,,,,,,,,,,,,,,,,
,,,ようだな？パーシヴァル少佐」,,,,,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「クロフト准将。本日の指令書を,,,,Lucas_face.png,,,,,,,,,,,,,,,,,,
,,,頂けますか」,,,,,,,,,,,,,,,,,,,,,,
