コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,コンラッド,右,「トゥイガーさん！」,scbg_corridor.png,SCBGM_shireibunaiyoru.wav,,Conrad_upset.png
Brank,,,ブラッドは振り返った。呼び方が,,,,
,,,変わったのを、彼の心境の変化だ,,,,
,,,と察するのに時間は要さない。,,,,
Sentence,コンラッド,右,「本日、エリオットの姿が,,,SCSE_hashirufoot.wav,Conrad_face.png
,,,見えないのですが、,,,,
,,,……何かご存知ですか？」,,,,
Sentence,ブラッド,左,「エリオット？,,,,Brad_face.png
,,,いや、何も聞いていないが……」,,,,
Sentence,コンラッド,右,「我々第9特別歩兵師団の兵士の,,,,Conrad_upset.png
,,,状況は、朝のうちにあなたに,,,,
,,,報告される、という認識で,,,,
,,,間違いありませんよね？」,,,,
Sentence,ブラッド,左,「……ああ」,,,,Brad_face.png
Sentence,コンラッド,右,「……やっぱり……」,,,,Conrad_upset.png
Brank,,,コンラッドの焦燥した横顔に、,,,,
,,,ブラッドはクロフトの言葉を,,,,
,,,思い出した。,,,,
Sentence,クロフト,,「チェスに要らない駒はないが、,scbg_corridor_night.png,,,Croft_smile.png
,,,軍には時々転がっているようなの,,,,
,,,でね。,,,,
Sentence,クロフト,,不要な駒など消してしまえばいい」,,,,Croft_smile.png
Brank,,,あのとき片側の口角だけをあげて,scbg_corridor.png,SCBGM_shireibunaiyoru.wav,,
,,,憎らしく笑ってみせたクロフトの,,,,
,,,表情を思い出す。,,,,
Sentence,ブラッド,左,「コンラッド、落ち着きなさい」,,,,Brad_face.png
Sentence,コンラッド,右,「あなたはいつも逃げる」,,,,Conrad_angry.png
Sentence,ブラッド,左,「これは逃げているわけではない。,,,,Brad_face.png
,,,クロフト君には私から、,,,,
,,,エリオットのことを確認しよう。,,,,
Sentence,ブラッド,左,だから、いまは動くな。,,,,Brad_face.png
,,,……いいね？」,,,,
Brank,,,コンラッドは、その言葉の真意を,,,,
,,,見定めるようにブラッドを見た。,,,,
Sentence,ブラッド,左,（どうか、伝わってくれ……！）,,,,Brad_face.png
Sentence,コンラッド,右,「……わかりました。頼みます」,,,,Conrad_angry.png
Sentence,ブラッド,左,「……ああ。必ず」,,,,Brad_face.png
,,,,,,,
,,,,,,,
,,,,,,,
