,,,,,,@last
,表示順番,手記の持ち主名,手記のタイトル,本文,手記解放条件の勲章数,@last
,1,Dr．R,1816年 3月20日,"エイミーが今日、学校を休んだ。
朝、エイミーのおばさんが「エイミーはベッドで寝ている」というから窓を叩きに行ったのに、
カーテンを開けて一言「バカ！」と叫ばれた。

あんなに元気なのに、なぜ学校を休むのか、
僕にはわからなかった。
でも、午後から町へ出かけて買わなくては
ならないものがあるという。 

午後、僕は見舞いに行けと先生に言われて
エイミーの家に行った。
エイミーは下女と出かけてから、まだ戻って
いないようで、僕はおばさんと待っていた。
戻ってきたエイミーは顔を真っ赤にして、
怒鳴りながら僕を追い出した。
でも、何に怒っていたのかはわからない。
明日聞いてみることにしよう。

それより、学校の宿題を終わらせなくちゃ！
将来の研究者たるもの、一日も勉学を怠ってはならない！と自分を戒めておこう。
先生に相談したら、応援してくれるって言ってたし。
将来はセントラルで国立研究所の研究員として、僕の名前を世界に響かせるんだ！
さあ、そのためにも勉強勉強。
",1,@last
,2,Dr．R,1818年12月28日,"僕は今日、15歳を迎えた。
勿論、同じ誕生日であるエイミーも同じだ。

僕は今日、一つ気づいたことがある。
それは僕が、エイミーを愛しているということだ。

今日の朝、僕は少し寝坊をした。
11時頃に起きてダイニングへ行くと、
母さんが僕に「今日はこちらからのお祝いも
考えなくてはいけないね」と言った。

毎年この日は、15時頃にエイミーから
僕の誕生日祝いのinvitationをもらって、
彼女が作った料理を僕の家に持ってくると
いう妙な風習が出来上がっていた。
家主なのにinvitationをもらって、
エイミーらが僕の家に押し掛けるというのは、幼い頃まだ互いに遠慮がちだった
親同士の互いへの配慮と、僕ら子ども二人に
バースデーカードを贈らせたいという
親心による仕掛けであったが、
僕らが１５になってもそれは続いていた。

そういうのはどうでもよくて、とにかく僕は
母さんの言いたいことがわからなかったから聞き直した。
すると、母さんは
「エイミーちゃん、恋人ができたみたいよ」
という。
僕は口にくわえていたパンを落としかけた。
かろうじて落とすことはなかったが、塗っていたバターは僕の指にたれた。

詳しく聞くと、一昨日くらいにエイミーの
お母さんからそんな話を聞いたというので、
僕は着の身着のまま部屋を飛び出した。

あわててエイミーの家の扉を叩くと、
おばさんが出て来ておやどうしたと聞くから、
エイミーはいますかと聞いた。
おばさんは「エイミーはこれから少し用事が
あるから」と笑っている。

全く答えになっていないので、
僕が歯?みをしていると、その騒ぎを
聞いたのかエイミーが二階から顔を出した。

髪を綺麗に結い上げて、胸元の開いた
品のあるドレスに身を包んだ彼女に、
僕は釘付けになった。

僕の誕生日だから？
この僕のためにそんな服を着ているの？
と問いたかった。
そう思うと胸が大きく脈打った。

「エイミー、その格好」と言ったところで、
彼女はすぐに顔を真っ赤にして部屋に
引き下がってしまった。
その仕草さえも愛おしいと思った時点で僕は
気付くべきだったのに。
「これからエイミーはパーティに行くのよ」
とおばさんが言う。
エスコート役として聞かされた名前は、
学校でも美男子と名高い男の名前だった。

今日の僕の一日は、エイミーのドレス姿を
一目見た瞬間に終わってよかった。
そこで鶏が鳴いて太陽が昇ればよかったのに。

そんな話を聞かされては、母さんの言葉を
疑う余地すらなくて、僕はパジャマのまま
帰りの道を歩いた。
いつもは短いはずの距離も長く感じて、
手足が凍るようだった。

家に着いてベッドに潜ると、母さんは
濡れた体を温めろと煩く言った。
しかし従う気になれず、なんなら肺炎にでも
なって仕舞えばいいとすら思った。

思春期になり、エイミーが学校の男の子から
よく声をかけられているのは見ていた。
彼女は明るくて、いつも笑顔でいたから、
周りの男の子たちもエイミーを魅力的な
女の子だと感じていることは分かっていた。

でもエイミーは、最後に僕のところにくる。
エイミーにとって、僕より心地良い止まり木
はないと、思い込んでいたのかもしれない。
僕だけの、世界で一番大切な女の子でいて
くれればよかったのに。

遠回りをして、最後に崖から転がり
落ちながら、僕は彼女への恋心を自覚した。

エイミーのあんな姿を誰にも見せたくなかった。

できれば彼女を連れ去りたいし、僕のそばを
離れるなと何度も重ねて念を押したかった。
エイミーが頷くまでその体を自由にして
やりたくもないし、ただ僕だけのものでいて
ほしかった。

僕の恋は、始まった途端に終わってしまったのだ。

結局その日、いつも通り15時には僕の家に
invitationが届いたけれど、それはエイミーの
お母さんが届けに来たものだった。
おばさんは玄関で母さんとしばらく喋って、
また来るわねと言いながら帰っていった。
こんなざまで、今日のパーティを楽しく
過ごせるわけがなかった。

それでもいつも通り、19時に
エイミーがうちに来た。
でもその服装は、やっぱりドレスで。
聞いてみると、エイミーは照れながら言った。
「パーティを抜け出してそのまま来た」

以前の僕ならそれだけで良かったと思うのに、
今の僕にはそう思う余裕すらなかった。

ねえエイミー。
僕だけのものでいてほしいんだ。
昔からずっと、僕の一番身近で一番大切な
女の子だった。

君が好きなんだ。愛してるんだ。
どうか、僕のもとに戻ってきて。

",3,@last
,2,Dr．R,1819年 12月20日,"今日の晩餐会。
エイミーがダニエルに、
28日に行われるパーティに誘われていた。
僕はそのとき、嫉妬というものを
覚えたのかもしれない。
I miss，and NO can have already made that 
a sigh by a tear.

エイミーは誕生日が8日後だということも、
もう忘れたのかな。
……僕はいよいよ、エイミーに対する自分の
思いを偽ることが、できなくなってしまった
みたいだ。

『トリスタン物語』のような悲劇ではない、
『ロミオとジュリエット』のような運命が
待っているとも思えない。
それでも、今の僕には彼らの募る思い、
痛切に感ずる恋の苦しみに共感を覚えることが
出来た。
彼らの心情をいくら僕が察しようとしても、
それは結局のところ純度の低い真似事であって、
僕自身を投影することは出来ない。
僕は僕自身の心理作用で動くし、感情と
いうもの自体がそういうものだからやむを
得ないが、今の僕はロミオの心を知っている。
彼のために大いに泣くことも出来る。

いくら文字を書いても解消されない、
この不均衡な心の作用は、僕の思考を鈍らせ、
暗い愛の闇に取り込もうとしている。
僕は……大概にして
だめだ、今の僕に何が書けるっていうんだ？

ああ、エイミーはあの誘いを受けたかな。
ダニエルのような男に、美しいエイミーはよく
似合う。
それをよくよく知っているから、僕の心は今
泣いているよ。

エイミー、君を愛している。
気づいてくれないか。

本当はこの心を捧げるから、その白い手で、
幼いころの僕を家から引っ張り出した
そのか細い腕で、抱きしめてほしいけど。

The course of true love never did 
run smooth.

シェイクスピアの洒落た名言さえも、
今の僕を慰めてはくれないんだ。
",5,@last
,3,Dr．R,1819年 12月20日,"今日の晩餐会。
エイミーがダニエルに、
28日に行われるパーティへと誘われていた。
僕はそのとき、嫉妬というものを
覚えたのかもしれない。


エイミーは僕らの誕生日が8日後だという
ことも、もう忘れたのかな。
……僕はいよいよ、エイミーに対する自分の
思いを偽ることができなくなってしまった
みたいだ。

『トリスタン物語』のような悲劇ではない、
『ロミオとジュリエット』のような運命が
僕の恋の先に待っているとも思えない。

それでも、今の僕には彼らの募る思い、
痛切に感ずる恋の苦しみに共感を覚えることが出来た。
彼らの心情をいくら僕が察しようとしても、
それは結局のところ程度の低い真似事で、
僕自身を投影することは出来ない。
僕は僕自身の心理作用で動くし、感情と
いうもの自体がそういうものだから
やむを得ないが、
今の僕はロミオの心を知っている。
彼のために大いに泣くことも出来る。

いくら文字を書いても解消されない、
この不均衡な心の作用は、僕の思考を鈍らせ、
暗い愛の闇に取り込もうとしている。
僕は……大概にして
だめだ、今の僕に何が書けるっていうんだ？

ああ、エイミーはあの誘いを受けたかな。
ダニエルのような男に、
美しいエイミーはよく似合う。
それをよくよく知っているから、僕の心は今
泣いているよ。

エイミー、君を愛している。
気づいてくれないか。

本当はこの心を捧げるから、その白い手で、
幼い頃僕を家から引っ張り出した
そのか細い腕で、抱きしめてほしいけど。

The course of true love never did 
run smooth.

シェイクスピアの洒落た名言さえも、
今の僕を慰めてはくれない。




",4,
,4,Dr．R,1819年 12月28日,"Dear.エイミー
僕は君が大好きだ。僕の心を知ってほしい。
I wanna tell you how I feel.
僕の中に、明るく色づいた欲望が生まれていく。

君にこの思いを伝えたら、君はなんと言う？
知るのが怖い。
数日前はそう思っていた。
だけど今はもう、知りたくて仕方がないよ。

ああ、エイミー。
17歳になった僕に、
新しく増えた感情を一言で言うならば
それが「愛」。

僕の最愛の人だ。君が愛を教えてくれた。
どのくらいとは言えない。

だって、かの戯曲作家も言っていたんだ。

There’s beggary in the love that can be reckoned.

言葉にするのが勿体無いよ。
でもここにだけは書き留めたい。
僕は、君を愛しているよ。


",5,@last
,5,Dr．R,1820年1月13日,"エイミーは卑怯だ。
僕の心を落ち着けておいて、
またどん底まで突き落とす。

今日、ダニエルと一緒に歩くエイミーを見た。
その瞬間、馬車の音も人々の怒声も、
すべて消えた。

僕は前の誕生日に、誓ったはずだったんだ。
エイミー、
君をずっとこの先、一生好きでいると。
愛し続けると。

それは嘘ではなかった。
神に誓うほどなんだから、
この心臓を破ってでも君にこの僕の心からの
思いをみせてやりたいと思っていたんだ。

でも、ごめん。
ダニエルの横で笑っていた君を思い出すと、
心を炎が焼き尽くすように痛い。

これから君に恋人ができたら？
誰かと結婚でもしたら？

そのたびにこんな思いをしながら
時間が流れるのをただじっと待っているしか
ないなんて。

それを思うと、
君を愛すると誓ったこの思いをこの先も
ずっと持ち続ける自信がないよ。
",7,@last
,6,Dr．R,1822年8月24日,"半年くらい前から思っていたことを、
今日始めて母さんと父さんに打ち明けた。

二人は僕のために、泣いてくれた。
そして「お前の夢を応援する」とも
言ってくれた。

僕は自分の夢をかなえるため、
国の研究員になる夢をかなえるために、
しばらく勉強に専念すると決めた。

だって今も、エイミーは他の男と
良い関係を築いているという。
でも、もう今は妬ましい気持ちに
苛まれることはない。

僕が一生の中で愛せる女性というのは、
もうエイミーだけだとわかったんだ。
君の恋を応援するよ。
君が幸せになれればいい。

……本当は、それだけ言って
潔く身を引けたら格好いいんだろうな。
エイミーのことは、しばらく忘れたい。
この決断をすることに対して、
そういう思いがなかったかと聞かれれば
嘘になるから。

でも、いいんだ。
さっきも言ったとおり僕はエイミー以外を
愛せるように作られていないらしい。

だから、言葉にして伝えることはないけれど。
君のことだけをずっと、愛しているよ。
幸せになって、エイミー。
君が僕の夢を応援してくれることを祈ってる。
",8,@last
,7,Dr．R,1824年11月10日,"昨日、僕の家の郵便受けにとある手紙が
入っていた。
それは憧れていた国立研究所からのもので、
僕を研究員の見習いとして採用したいと
いう話だった。

見習いと言っても、呼び方だけで、
時期に正式な研究員になれるということも
書いてあった。

それを見たとき、
嬉しさに泣き崩れながら思い出したのは、
やっぱりエイミーのことだった。

研究所はここから遠く、セントラルにある。
こんな片田舎からじゃ
汽車に乗って丸一日かかってしまう。

もちろんこれまで考えなかったことでは
ないけれど、
この手紙を手にするときには
完全にエイミーのことを吹っ切っていると
思っていた。

なのに。
事実嬉しくて泣き崩れたとき、
恋しさが募ってそれでもう一度嗚咽が出た。

エイミーに会いたい。
僕は自分の一生の夢を叶えたいけど、
それを応援するのも妨げるのも、
やっぱりエイミーなんだ。

",10,@last
,8,Dr．R,1825年2月13日,"そろそろ研究員募集の回答期限が
迫っているというのに、
エイミーが最近僕に会ってくれない。

でも、僕の胸には一つだけ思惑がある。
エイミーにこの話を打ち明けて、
一生に一度の賭けをしようと思うんだ。
僕についてきてほしい、そう伝えよう。

うだつの上がらない男だと、自分でも思う。
勉強以外に取り柄はないし、
引っ込み思案で幼いころからずっと、
エイミーに手を引っ張ってもらわないと
友達の輪にも入れないような僕だけど。

人生で一番後悔することは、
エイミーをここに置いて自分ひとりだけ
セントラルへ向かうことだと思うから。

なんて言えば一番いいかな。
この話を聞いたとき、
エイミーはどう思うだろう。

僕のことを笑うかな。
私の今後の人生をあなたなんかに
任せられないって。

セントラルに行く以上、
僕は一生をあっちで過ごす予定だし、
そんなことを彼女に迫るなんて、
やっぱり荒唐無稽だろうか。

いや、だけど僕の人生に残された課題は
これだけだ。
これだけはもう、逃れられない。

この間セントラルに行ったときは、
人の多さにも驚いた。
もしエイミーに断られてしまっても、
たくさんの華やかな女性が
僕を慰めてくれるかもしれない。
だから案ずるな、ぶつかれ！

……ああ、こう考えてみても、
ちっとも他の女の子には興味がないから
慰めにならない。

どうか、どうかエイミーに僕の思いが
届きますように。
いまはそれだけを祈ろう。

",11,@last
,9,Dr．R,1825年7月1日,"気合を入れて。
これから、エイミーに伝えに行きます。
ようやく会ってくれると、
エイミーが言ってくれたんだ。

……深呼吸を繰り返してもダメだ。
昨日の夜から何度も書いた台本は
汗でしわくちゃだし、
結局書き直しを重ねてしまったばかりに
どれが正しいセリフなのか
わからなくなってしまった。

もうこうなっては、正々堂々と行こう。
どうか、届きますように。







僕は世界で一番、幸せな男だ！！
エイミー、愛しているよ！
これまで君に苦しめられた恋心がいま、
世界で一番の幸せを享受して
未来に羽ばたいた！！

信じられないよ、信じられないけど、
信じたい、ずっと信じていたい。
僕の思いが届いたなんて。

神様はこんなふうに、
世界を粋に作っていたっけ？

愛してる、愛してるよエイミー！！
君しかいない、僕が生きる理由は君だけだ。
愛してる！

",13,@last
,10,Dr．R,1825年11月3日,"今日は、研究の合間にエイミーと手を繋ぎ
近くの公園まで紅葉を見に行った。

エイミーは僕が研究に詰まっていると、
いつもこうして誘い出してくれる。

妻にしてみて改めて思うのは、
エイミーがすごく良い妻であるということ。
昔のエイミーはこんなふうではなかったと
思うのに、いまはどんな女性よりも
淑女らしい。

いつもそばで献身的に僕を支えてくれる、
良き妻だ。

ところで一つ、
妻が僕にしてくれた昔話を書いておきたい。

手記を振り返ると、僕の15歳の誕生日。
その日、彼女は確かにドレスを着ていて、
僕の家にはそのパーティを抜け出してきたと
言っていた。
けれど、それはまるごと嘘だったのだという。

本当は僕のためにあのドレスを
着ようとしていたのに、
いつもはスカートをまくって
走り回っているような女の子だったから、
急にあんな格好をするのが恥ずかしくて、
おばさんを巻き込んでパーティ帰りだから
あんな格好をしていたと大掛かりな嘘を
仕込んだのだという。

それを僕の母さんが勝手に勘違いして、
僕に「エイミーちゃんに恋人ができた」と
いうから余計なことになったらしい。
僕が寝起きにお邪魔したときは
試着をしていたそうで、
それもまた僕の間の悪さだった。

だからエイミーは、あの日僕が誕生日会の
最中もずっと不機嫌そうにしていたのを、
不安に思いながら見ていたのだそうだ。

せっかくのお洒落が台無しになって
怒るというわけではなく、
僕の機嫌を損ねたかという不安のほうが
大きかったというのが愛おしい。

僕たちはベンチでその話をして
すっかり笑いあった。
僕たちは昔から、お互いのことを思っては
すれ違ってばかりだったようだね。

でも今はそうじゃない。
大切な君を、一生大切にするよ。
愛する妻よ。
これからもずっと、そばにいてください。
",14,@last
,11,Dr．R,1827年2月19日,"今日、農業開発に関する草案がまとまり、
議会に提出した。

機械奴隷が増え、これまでは殺していた
稚児も働き手として機械奴隷化し
働かせようという親の企みもあってか、
人口が急増。

食料供給量が追いつかなくなるとともに、
産業発達により土壌汚染が進行、
食物が育たなくなってしまったことが
今回の計画の要因としてあった。

これに対し僕が提案したのは、
農業の完全機械化と工農分離政策である。

農業の機械化のためには、自立稼働機械が
必要なので、これをつくる取り組みが
今後の研究の核になるだろうと思う。

自立稼働機械を利用することのメリットは、
食物をエネルギー源としないために人間及び
機械奴隷が確保すべき食糧を侵食しないこと。

現在行っている代替エネルギー開発が
成功すれば、それを利用することでさらに
現在の蒸気機関から熱エネルギーの
利用効率よりさらに効率的に利用することが
できるかもしれない。

チームリーダーは自立稼働機械に
人格をもたせるという提案をしてきたが、
却下した。

まずこの国には現在、
人間の定義に関する学問が進んでおらず、
生命倫理の概念が発達していない。

ここに無闇に手を出すと、
現在の機械奴隷よりもさらに深刻な事態に
陥る気がする。

しっかりここを踏まえて伝えたつもりだが、
本当に伝わっているか怪しいので、
また明日以降伝えていこうと思う。

ともかく、
今日は草案提出までこぎつけたことが
一番嬉しい。
これもすべてエイミーのおかげだ。

愛していると、毎日伝えてもまだ足りない。
こうして手記を書きながら、
ベッドで眠る妻の寝顔を見ている時間が
一番幸せかもしれないな。

",15,@last
