コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Sentence,オーブリー,左,「ごめんね、突然」,scbg_town.png,SCBGM_townnoise1.ogg,,Aubray_face.png
Sentence,リリー,右,「いえ。それより何か……？」,,,,Lily_face.png
Brank,,,二人は町の中のベンチに,,,,
,,,腰掛けていた。,,,,
Sentence,オーブリー,左,「あれからキャロット？だっけ、,,,,Aubray_smile.png
,,,君の猫……どうしてる？」,,,,
Sentence,リリー,右,「キャロルね。元気にしてますよ」,,,,Lily_face.png
Sentence,オーブリー,左,「あ、キャロル。そう、よかった」,,,,Aubray_smile.png
Brank,,,オーブリーは緊張のせいで言葉が,,,,
,,,継げない。,,,,
,,,二人の間を沈黙が流れる。,,,,
Sentence,オーブリー,左,「あの、リリーさん。今日は、,,,,Aubray_face.png
,,,……僕からお話があります」,,,,
Sentence,リリー,右,「お話……？　何ですか……？」,,,,Lily_face.png
Sentence,オーブリー,左,（まっすぐ思いをぶつける……！）,,,,Aubray_face.png
Sentence,オーブリー,左,「あなたの笑顔に、僕は惹かれて,,,,Aubray_face.png
,,,いました。僕と結婚を前提とした,,,,
,,,恋仲になりませんか」,,,,
Sentence,オーブリー,左,（この思いが、彼女の胸に,,,,Aubray_face.png
,,,響きますように……）,,,,
Brank,,,祈るような気持ちで彼女の横顔を,,,,
,,,直視していた。彼女はぐっと唇を,,,,
,,,噛んで、オーブリーを見据える。,,,,
Sentence,リリー,右,「あの……」,,,,Lily_face.png
Sentence,オーブリー,左,「はい……」,,,,Aubray_face.png
Sentence,リリー,右,「ごめんなさい、お断りします。,,,,Lily_scorn.png
,,,あなたの体は殆ど機械だし、,,,,
,,,人間じゃないもの」,,,,
Sentence,オーブリー,左,「……え？」,,,,Aubray_sad.png
Sentence,リリー,右,「偽物の人間には、偽物の感情,,,,Lily_scorn.png
,,,しか宿らないって、お祖父様が,,,,
,,,言ってました。,,,,
Sentence,リリー,右,私、ちゃんとした人間の男の人と,,,,Lily_scorn.png
,,,結婚したいんです。,,,,
,,,だから、……ごめんなさい」,,,,
Brank,,,リリーはそれだけ言い切ると、,,,SCSE_dash.wav,
,,,オーブリーに背を向け走り出した。,,,,
Sentence,オーブリー,左,（……僕は、偽物の人間……？）,,,,Aubray_sad.png
Sentence,オーブリー,左,「……ははは」,,,,Aubray_smile.png
Brank,,,辺りには、オーブリーの乾いた,,,,
,,,笑いだけが響いていた。,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
