コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,「思いの外、晴れたな」,scbg_town.png,SCBGM_townnoise1.ogg,,,,,,,,,,,,,,,,,,,,
Brank,,,手でひさしを作り、空を見上げる,,,SCSE_tuchinoue.wav,,,,,,,,,,,,,,,,,,,
,,,コンラッドは、久々に笑顔だった。,,,,,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「そうだな。,,,,,,,,,,,,,,,,,,,,,,
,,,今日もあの人の所で買うのか？」,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,「ああ」,,,,,,,,,,,,,,,,,,,,,,
Brank,,,コンラッドが品物を買う店は,,,,,,,,,,,,,,,,,,,,,,
,,,いつも決まっている。,,,,,,,,,,,,,,,,,,,,,,
Brank,,,ブラッドに紹介されたヘミングの,,,SCSE_wooddooropen.wav,,,,,,,,,,,,,,,,,,,
,,,店である。,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,「こんにちは、ヘミングさん」,,,,,,,,,,,,,,,,,,,,,,
Brank,,,店の中は決して上品ではない。,,,,,,,,,,,,,,,,,,,,,,
,,,機械奴隷に分類される店主は、,,,,,,,,,,,,,,,,,,,,,,
,,,しゃがれた声で応えた。,,,,,,,,,,,,,,,,,,,,,,
Sentence,ヘミング,右,「おお、若いの。久しぶりじゃな」,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「ご無沙汰していました」,,,,,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「どうも」,,,,,,,,,,,,,,,,,,,,,,
Sentence,ヘミング,右,「今日は何が入用かね？」,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「実は今日、久々に妻の見舞いに,,,,,,,,,,,,,,,,,,,,,,
,,,行くのですが、その花を繕って,,,,,,,,,,,,,,,,,,,,,,
,,,もらおうと思いまして」,,,,,,,,,,,,,,,,,,,,,,
Sentence,ヘミング,右,「ああ、わかったよ。,,,,,,,,,,,,,,,,,,,,,,
