コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Brank,,,ルーカスは任務開始前、,scbg_hemingshouse.png,SCBGM_heming.ogg,,
,,,ヘミングの自宅に寄っていた。,,,,
Brank,,,万が一のことを考えて、今日は,,,,
,,,ひとまず身を隠してほしいと,,,,
,,,伝えるためだった。,,,,
Sentence,ヘミング,右,「おや、君は確か……」,,,,Heming_face.png
Sentence,ルーカス,左,「どうも、ご無沙汰しています」,,,,Lucas_face.png
Sentence,ヘミング,右,「今日、コンラッド君は？」,,,,Heming_smile.png
Sentence,ルーカス,左,「すみません、今は時間に余裕が,,,,Lucas_face.png
,,,ないので、俺の話を聞いて下さい」,,,,
Brank,,,それからヘミングを裏路地に連れ,,,,
,,,込んで、これまでの一切を話した。,,,,
Sentence,ヘミング,右,「……まさか、本当に政府が,,,,Heming_bad.png
,,,そんなことをしているとは……。,,,,
,,,噂は聞いていたがね……」,,,,
Sentence,ルーカス,左,「とにかく、コンラッドは,,,,Lucas_face.png
,,,あなたのことを思って今上司に,,,,
,,,話をつけていますから、,,,,
Sentence,ルーカス,左,あなたに死なれては困る」,,,,Lucas_face.png
Sentence,ヘミング,右,「なあ、君は機械奴隷である我々,,,,Heming_bad.png
,,,のことを、人間だと思うか？」,,,,
Brank,,,ヘミングからの唐突な問に、,,,,
,,,ルーカスは戸惑う。,,,,
Brank,,,本人から「機械奴隷」という,,,,
,,,言葉を聞くのはこれほど居心地の,,,,
,,,悪いものだと知った。,,,,
Sentence,ルーカス,左,「コンラッドがそう言うので、,,,,Lucas_face.png
,,,まあ俺も同じように思っています」,,,,
Sentence,ヘミング,右,「私はね、時折不安になるんだ。,,,,Heming_bad.png
,,,妻も、娘もいまじゃ機械奴隷と,,,,
,,,言われる身分だ。,,,,
Sentence,ヘミング,右,私はね、わからなくなってきた。,,,,Heming_bad.png
,,,最近左脚を機械に変えたんだ。,,,,
,,,体が腐ってしまってね」,,,,
Sentence,ルーカス,左,「すみませんが、今そんな話を」,,,,Lucas_face.png
Sentence,ヘミング,右,「ああ、話を急ごう。私の身体が,,,,Heming_face.png
,,,腐って機械に変えて、というのを,,,,
,,,繰り返すうちに、私は全部機械に,,,,
Sentence,ヘミング,右,なる。そうなったら私は、本当に,,,,Heming_face.png
,,,ヘミング・ギルソープなのか？と,,,,
,,,思うんだ」,,,,
Sentence,ルーカス,左,「そりゃあなた次第でしょう」,,,,Lucas_face.png
Sentence,ヘミング,右,「……私は、もうそうなっては,,,,Heming_face.png
,,,人間ではないと思う。人間として,,,,
,,,生まれたヘミング・ギルソープの,,,,
Sentence,ヘミング,右,アイデンティティはすべて失われ,,,,Heming_face.png
,,,た。そこまでして生きながらえた,,,,
,,,いか？というと答えはNOだ」,,,,
Sentence,ルーカス,左,「……」,,,,Lucas_face.png
Sentence,ヘミング,右,「君の話を聞いてそろそろ年貢の,,,,Heming_face.png
,,,納め時かという気がした。神様が,,,,
Sentence,ヘミング,右,私に死ねと言ってる。人間として,,,,Heming_face.png
,,,死ぬなら今が最後だぞと」,,,,
Sentence,ルーカス,左,「コンラッドの思いを知ってもか」,,,,Lucas_angry.png
Sentence,ヘミング,右,「……ああ。彼の思いは,,,,Heming_face.png
,,,今の私にとってありがた迷惑だ。,,,,
,,,何も知らずに死んだ方が良かった」,,,,
Brank,,,ルーカスは、ただその言葉に,,,,
,,,置いてけぼりにされてしまった。,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
